Data_Set,Data Type,Parameter,Value
Turkey_8_8.ld,r2Pear,lam,-2.499899890517986e-07
Turkey_8_9.ld,r2Pear,AIC,-624328769.06018329
Turkey_8_9.ld,r2Pear,init,0.11868340606533735
Turkey_8_9.ld,r2Pear,lam,-2.6782482254709556e-07
Turkey_9_10.ld,r2Pear,AIC,-622671912.68732512
Turkey_9_10.ld,r2Pear,init,0.11830836602971463
Turkey_9_10.ld,r2Pear,lam,-2.5790035505325345e-07
Turkey_9_1.ld,r2Pear,AIC,-630569014.18518281
Turkey_9_1.ld,r2Pear,init,0.11520163225922631
Turkey_9_1.ld,r2Pear,lam,-2.6840928811010271e-07
Turkey_9_2.ld,r2Pear,AIC,-629310037.71286023
Turkey_9_2.ld,r2Pear,init,0.11514093341322185
Turkey_9_2.ld,r2Pear,lam,-2.5610243521529599e-07
Turkey_9_3.ld,r2Pear,AIC,-631651302.66519547
Turkey_9_3.ld,r2Pear,init,0.11532064140181378
Turkey_9_3.ld,r2Pear,lam,-2.7260572849603628e-07
Turkey_9_4.ld,r2Pear,AIC,-629503669.02635157
Turkey_9_4.ld,r2Pear,init,0.1159463001157371
Turkey_9_4.ld,r2Pear,lam,-2.6702588682779554e-07
Turkey_9_5.ld,r2Pear,AIC,-627142463.45655382
Turkey_9_5.ld,r2Pear,init,0.11880553595295948
Turkey_9_5.ld,r2Pear,lam,-2.8641898581334392e-07
Turkey_9_6.ld,r2Pear,AIC,-633459361.56778669
Turkey_9_6.ld,r2Pear,init,0.11556967864791197
Turkey_9_6.ld,r2Pear,lam,-2.7101032706319545e-07
Turkey_9_7.ld,r2Pear,AIC,-629892334.26630592
Turkey_9_7.ld,r2Pear,init,0.11686288562692011
Turkey_9_7.ld,r2Pear,lam,-2.6779840165341326e-07
Turkey_9_8.ld,r2Pear,AIC,-635699885.59032905
Turkey_9_8.ld,r2Pear,init,0.11260619184465609
Turkey_9_8.ld,r2Pear,lam,-2.546518045302107e-07
Turkey_9_9.ld,r2Pear,AIC,-629784857.18611968
Turkey_9_9.ld,r2Pear,init,0.11556242646401127
Turkey_9_9.ld,r2Pear,lam,-2.6972700721368033e-07
