Data_Set,Data Type,Parameter,Value
Duck_4_4.ld,r2GLS,lam,-1.7818705405820187e-07
Duck_4_5.ld,r2GLS,AIC,-494290430.32898992
Duck_4_5.ld,r2GLS,init,0.085310019897418876
Duck_4_5.ld,r2GLS,lam,-1.9373780705271917e-07
Duck_4_6.ld,r2GLS,AIC,-494163639.71396804
Duck_4_6.ld,r2GLS,init,0.085922124557845259
Duck_4_6.ld,r2GLS,lam,-2.019931254435001e-07
Duck_4_7.ld,r2GLS,AIC,-494220992.00332332
Duck_4_7.ld,r2GLS,init,0.085290231826207333
Duck_4_7.ld,r2GLS,lam,-1.9504157878530099e-07
Duck_4_8.ld,r2GLS,AIC,-494431626.23305941
Duck_4_8.ld,r2GLS,init,0.084858781435203937
Duck_4_8.ld,r2GLS,lam,-1.8492069830620777e-07
Duck_4_9.ld,r2GLS,AIC,-494226671.17081213
Duck_4_9.ld,r2GLS,init,0.085365701597543017
Duck_4_9.ld,r2GLS,lam,-2.0999886233127933e-07
Duck_5_10.ld,r2GLS,AIC,-494656053.47515416
Duck_5_10.ld,r2GLS,init,0.084805395391243002
Duck_5_10.ld,r2GLS,lam,-1.8497410655583431e-07
Duck_5_1.ld,r2GLS,AIC,-493965541.05587465
Duck_5_1.ld,r2GLS,init,0.085130695083681762
Duck_5_1.ld,r2GLS,lam,-2.0157262911519106e-07
Duck_5_2.ld,r2GLS,AIC,-494290260.01947939
Duck_5_2.ld,r2GLS,init,0.085387303546476986
Duck_5_2.ld,r2GLS,lam,-2.0094348482669707e-07
Duck_5_3.ld,r2GLS,AIC,-494158955.15493232
Duck_5_3.ld,r2GLS,init,0.085181756916985901
Duck_5_3.ld,r2GLS,lam,-1.8591903026596198e-07
Duck_5_4.ld,r2GLS,AIC,-493680313.04549074
Duck_5_4.ld,r2GLS,init,0.085483273204045043
Duck_5_4.ld,r2GLS,lam,-2.0755830341632167e-07
Duck_5_5.ld,r2GLS,AIC,-494910787.71919471
Duck_5_5.ld,r2GLS,init,0.084929288796614766
Duck_5_5.ld,r2GLS,lam,-1.8683354855878109e-07
Duck_5_6.ld,r2GLS,AIC,-495259499.06676513
Duck_5_6.ld,r2GLS,init,0.08474733428275863
Duck_5_6.ld,r2GLS,lam,-1.8542360780183536e-07
Duck_5_7.ld,r2GLS,AIC,-494115031.99537814
Duck_5_7.ld,r2GLS,init,0.085214875319619757
Duck_5_7.ld,r2GLS,lam,-1.8894830183424094e-07
Duck_5_8.ld,r2GLS,AIC,-493967241.44897634
Duck_5_8.ld,r2GLS,init,0.084865328941418211
Duck_5_8.ld,r2GLS,lam,-1.7528401246252717e-07
Duck_5_9.ld,r2GLS,AIC,-493863032.10382766
Duck_5_9.ld,r2GLS,init,0.085623343407173813
Duck_5_9.ld,r2GLS,lam,-2.1782933194682626e-07
Duck_6_10.ld,r2GLS,AIC,-493434013.02636546
Duck_6_10.ld,r2GLS,init,0.08579133688218768
Duck_6_10.ld,r2GLS,lam,-2.078783145521681e-07
Duck_6_1.ld,r2GLS,AIC,-494459668.30202997
Duck_6_1.ld,r2GLS,init,0.085212164101128265
Duck_6_1.ld,r2GLS,lam,-2.0352378593112413e-07
Duck_6_2.ld,r2GLS,AIC,-493712380.08546382
Duck_6_2.ld,r2GLS,init,0.085501947100216302
Duck_6_2.ld,r2GLS,lam,-2.0930815404896058e-07
Duck_6_3.ld,r2GLS,AIC,-494271438.25583172
Duck_6_3.ld,r2GLS,init,0.084532032803124324
Duck_6_3.ld,r2GLS,lam,-1.8486438670863169e-07
Duck_6_4.ld,r2GLS,AIC,-493843262.8065322
Duck_6_4.ld,r2GLS,init,0.085291785288754168
Duck_6_4.ld,r2GLS,lam,-1.9822300299681563e-07
Duck_6_5.ld,r2GLS,AIC,-494033985.61122042
Duck_6_5.ld,r2GLS,init,0.085726556768884354
Duck_6_5.ld,r2GLS,lam,-2.1542310017802385e-07
Duck_6_6.ld,r2GLS,AIC,-494636551.08074796
Duck_6_6.ld,r2GLS,init,0.084825078988399027
Duck_6_6.ld,r2GLS,lam,-1.8832063521115828e-07
Duck_6_7.ld,r2GLS,AIC,-493665252.64921045
Duck_6_7.ld,r2GLS,init,0.085577146600455387
Duck_6_7.ld,r2GLS,lam,-1.9951003628527473e-07
Duck_6_8.ld,r2GLS,AIC,-494783236.75949216
Duck_6_8.ld,r2GLS,init,0.084682332726960879
Duck_6_8.ld,r2GLS,lam,-1.9366509531511577e-07
Duck_6_9.ld,r2GLS,AIC,-493822223.68778485
Duck_6_9.ld,r2GLS,init,0.086019143790969477
Duck_6_9.ld,r2GLS,lam,-2.0497502172107181e-07
Duck_7_10.ld,r2GLS,AIC,-494126639.28037459
Duck_7_10.ld,r2GLS,init,0.084841918152111145
Duck_7_10.ld,r2GLS,lam,-1.9948193986193327e-07
Duck_7_1.ld,r2GLS,AIC,-493897221.6226576
Duck_7_1.ld,r2GLS,init,0.084609531990321743
Duck_7_1.ld,r2GLS,lam,-1.8606326458267695e-07
Duck_7_2.ld,r2GLS,AIC,-494411154.51251119
Duck_7_2.ld,r2GLS,init,0.084991460159115295
Duck_7_2.ld,r2GLS,lam,-2.1715127461379909e-07
Duck_7_3.ld,r2GLS,AIC,-494186900.42708993
Duck_7_3.ld,r2GLS,init,0.084902388742655849
Duck_7_3.ld,r2GLS,lam,-1.9589876027843556e-07
Duck_7_4.ld,r2GLS,AIC,-493879426.36802393
Duck_7_4.ld,r2GLS,init,0.084959441045880685
Duck_7_4.ld,r2GLS,lam,-2.1012165813284948e-07
Duck_7_5.ld,r2GLS,AIC,-493658247.83264345
Duck_7_5.ld,r2GLS,init,0.0854814101977589
Duck_7_5.ld,r2GLS,lam,-2.1104461330618541e-07
Duck_7_6.ld,r2GLS,AIC,-495129339.3969202
Duck_7_6.ld,r2GLS,init,0.084782869948621803
Duck_7_6.ld,r2GLS,lam,-1.9057779300019621e-07
Duck_7_7.ld,r2GLS,AIC,-494279371.52756971
Duck_7_7.ld,r2GLS,init,0.08540706719112405
Duck_7_7.ld,r2GLS,lam,-2.1064944760620685e-07
Duck_7_8.ld,r2GLS,AIC,-494100035.50544214
Duck_7_8.ld,r2GLS,init,0.085451226467525149
Duck_7_8.ld,r2GLS,lam,-1.9966812079183377e-07
Duck_7_9.ld,r2GLS,AIC,-494913214.58536714
Duck_7_9.ld,r2GLS,init,0.085040234329162787
Duck_7_9.ld,r2GLS,lam,-1.9118959490731265e-07
Duck_8_10.ld,r2GLS,AIC,-494245763.84790248
Duck_8_10.ld,r2GLS,init,0.085708684171493965
Duck_8_10.ld,r2GLS,lam,-2.0610296391844267e-07
Duck_8_1.ld,r2GLS,AIC,-494999021.51730996
Duck_8_1.ld,r2GLS,init,0.085197258018668856
Duck_8_1.ld,r2GLS,lam,-2.0263522944999814e-07
Duck_8_2.ld,r2GLS,AIC,-494321276.45742089
Duck_8_2.ld,r2GLS,init,0.08436166039499568
Duck_8_2.ld,r2GLS,lam,-1.7850919302422576e-07
Duck_8_3.ld,r2GLS,AIC,-493439750.33327365
Duck_8_3.ld,r2GLS,init,0.085781289044636583
Duck_8_3.ld,r2GLS,lam,-1.9857904771576511e-07
Duck_8_4.ld,r2GLS,AIC,-493763683.777089
Duck_8_4.ld,r2GLS,init,0.085421195997714611
