Data_Set,Data Type,Parameter,Value
Duck_8_9.ld,r2Pear,lam,-2.1602580041913784e-07
Duck_9_10.ld,r2Pear,AIC,-613776052.55818725
Duck_9_10.ld,r2Pear,init,0.0682185328262013
Duck_9_10.ld,r2Pear,lam,-2.3260971088469624e-07
Duck_9_1.ld,r2Pear,AIC,-612973700.95450568
Duck_9_1.ld,r2Pear,init,0.068332385486512159
Duck_9_1.ld,r2Pear,lam,-2.4015177860711222e-07
Duck_9_2.ld,r2Pear,AIC,-612712646.26483309
Duck_9_2.ld,r2Pear,init,0.06836051898039
Duck_9_2.ld,r2Pear,lam,-2.2924646999411156e-07
Duck_9_3.ld,r2Pear,AIC,-614187874.12256396
Duck_9_3.ld,r2Pear,init,0.06814929206485143
Duck_9_3.ld,r2Pear,lam,-2.2590747604454863e-07
Duck_9_4.ld,r2Pear,AIC,-613568980.64944804
Duck_9_4.ld,r2Pear,init,0.068293405366412124
Duck_9_4.ld,r2Pear,lam,-2.2839807372069934e-07
Duck_9_5.ld,r2Pear,AIC,-613193436.92038345
Duck_9_5.ld,r2Pear,init,0.067775136046897375
Duck_9_5.ld,r2Pear,lam,-2.2104593683876142e-07
Duck_9_6.ld,r2Pear,AIC,-613277478.77126145
Duck_9_6.ld,r2Pear,init,0.068234359271308928
Duck_9_6.ld,r2Pear,lam,-2.3631097730198064e-07
Duck_9_7.ld,r2Pear,AIC,-612475841.58252132
Duck_9_7.ld,r2Pear,init,0.068244474840310168
Duck_9_7.ld,r2Pear,lam,-2.375804235049586e-07
Duck_9_8.ld,r2Pear,AIC,-612616536.6169771
Duck_9_8.ld,r2Pear,init,0.068502453223877491
Duck_9_8.ld,r2Pear,lam,-2.4186336991407731e-07
Duck_9_9.ld,r2Pear,AIC,-613059081.38147891
Duck_9_9.ld,r2Pear,init,0.068594348429616606
Duck_9_9.ld,r2Pear,lam,-2.4164607871741606e-07
